full_name;age;height_cm;weight_kgs;positions;nationality;potential;value_euro;finishing;short_passing;dribbling;freekick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility
Lionel Andrés Messi Cuccittini;31;170.18;72.1;CF,RW,ST;Argentina;94;110500000.0;95;92;97;94;89;96;91;86;93
Christian  Dannemann Eriksen;27;154.94;76.2;CAM,RM,CM;Denmark;89;69500000.0;81;91;84;87;89;91;76;73;80
Paul Pogba;25;190.5;83.9;CM,CAM;France;91;73000000.0;75;86;87;82;90;90;71;79;76
Lorenzo Insigne;27;162.56;59.0;LW,ST;Italy;88;62000000.0;77;85;90;77;78;93;94;86;94
Kalidou Koulibaly;27;187.96;88.9;CB;Senegal;91;60000000.0;22;68;69;28;60;63;70;75;50
Virgil van Dijk;27;193.04;92.1;CB;Netherlands;90;59500000.0;52;79;70;70;81;76;74;77;61
Kylian Mbappé;20;152.4;73.0;RW,ST,RM;France;95;81000000.0;88;82;90;63;73;91;96;96;92
Sergio Leonel Agüero del Castillo;30;172.72;69.9;ST;Argentina;89;64500000.0;93;81;89;73;64;89;88;80;86
Manuel Neuer;32;193.04;92.1;GK;Germany;89;38000000.0;13;55;30;11;59;46;54;60;51
Edinson Roberto Cavani Gómez;32;185.42;77.1;ST;Uruguay;89;60000000.0;89;78;80;76;52;82;75;76;77
Sergio Busquets i Burgos;30;187.96;76.2;CDM,CM;Spain;89;51500000.0;67;89;80;68;82;88;50;52;66
Thibaut Courtois;26;198.12;96.2;GK;Belgium;90;53500000.0;14;33;13;20;35;23;46;52;61
Marc-André ter Stegen;26;187.96;84.8;GK;Germany;92;58000000.0;14;42;17;12;47;18;38;50;37
Antoine Griezmann;27;175.26;73.0;CF,ST;France;90;78000000.0;89;84;87;84;78;90;88;85;90
Mohamed  Salah Ghaly;26;175.26;71.2;RW,ST;Egypt;90;78500000.0;90;83;89;60;74;88;94;91;91
Paulo Bruno Exequiel Dybala;25;152.4;74.8;CAM,RW;Argentina;94;89000000.0;84;87;92;88;75;92;87;83;91
Milan Škriniar;24;187.96;79.8;CB;Slovakia;93;53500000.0;42;73;59;30;69;67;70;73;48
Fernando Luiz Rosa;33;152.4;67.1;CDM;Brazil;87;20500000.0;69;85;77;72;83;82;68;67;72
Gonzalo Gerardo Higuaín;31;185.42;88.9;ST;Argentina;87;48500000.0;91;74;83;62;59;84;70;72;75
Ivan Rakitić;30;182.88;78.0;CM,CDM;Croatia;87;46500000.0;79;87;82;82;90;85;66;62;73
Jan Vertonghen;31;187.96;86.2;CB;Belgium;87;34000000.0;56;79;71;73;74;77;61;65;61
Dries Mertens;31;170.18;60.8;CF,ST;Belgium;87;45000000.0;86;82;91;79;74;89;93;85;94
Marcelo Vieira da Silva Júnior;30;175.26;79.8;LB;Brazil;87;36500000.0;73;84;90;67;78;92;83;82;86
Toby Alderweireld;30;185.42;81.2;CB;Belgium;88;44000000.0;45;79;62;69;85;75;61;67;60
Jordi Alba Ramos;29;170.18;68.0;LB;Spain;87;38000000.0;73;84;80;63;74;84;93;93;90
Thiago Alcântara do Nascimento;27;175.26;69.9;CM,CAM,CDM;Spain;87;51500000.0;69;90;90;77;87;90;78;69;90
Ciro Immobile;29;185.42;84.8;ST;Italy;87;52000000.0;90;74;83;51;49;83;78;85;77
Keylor Navas;32;185.42;79.8;GK;Costa Rica;87;30500000.0;15;30;16;15;37;19;54;53;60
Francisco Román Alarcón Suárez;26;175.26;78.9;CAM,CM,LW;Spain;90;62500000.0;79;86;94;76;81;95;75;69;87
James David Rodríguez Rubio;27;154.94;74.8;CAM,CM,RM;Colombia;88;59000000.0;83;89;85;86;83;90;73;67;83
Carlos Henrique Venancio Casimiro;27;185.42;83.9;CDM;Brazil;89;50500000.0;64;83;69;74;82;78;61;66;62
Mauro Emanuel Icardi Rivero;26;154.94;74.8;ST;Argentina;90;64500000.0;91;73;77;45;54;81;77;78;76
Kepa Arrizabalaga;24;185.42;84.8;GK;Spain;90;31000000.0;11;32;10;19;36;16;34;33;41
Hakim Ziyech;25;154.94;64.9;CAM,RW;Morocco;86;38000000.0;68;86;84;78;89;83;76;74;86
Fábio Henrique Tavares;25;187.96;78.0;CDM;Brazil;88;34000000.0;66;83;76;53;80;82;69;72;69
Anthony Martial;23;182.88;76.2;LW,ST,LM;France;90;42500000.0;84;78;88;54;60;87;88;89;85
Timo Werner;23;154.94;74.8;ST;Germany;87;40000000.0;87;77;83;56;55;84;93;93;81
Niklas Süle;23;195.57999999999998;97.1;CB;Germany;90;36500000.0;20;78;42;30;63;63;52;84;33
Bruno Miguel Borges Fernandes;24;152.4;68.9;CAM,CM;Portugal;88;40500000.0;74;85;83;85;84;86;79;76;77
Alex Nicolao Telles;26;154.94;71.2;LB;Brazil;86;31000000.0;65;83;82;79;86;82;84;85;73
José María Giménez de Vargas;24;185.42;79.8;CB;Uruguay;88;34000000.0;37;68;47;44;58;56;69;70;56
Nabil Fekir;25;172.72;74.8;CAM;France;88;40500000.0;82;83;90;79;75;89;79;79;84
Davinson Sánchez;22;187.96;78.9;CB;Colombia;88;34000000.0;40;77;63;27;67;73;72;79;60
Marco Asensio Willemsen;23;182.88;76.2;LW,RW;Spain;89;41500000.0;80;83;85;76;81;85;85;82;79
Ousmane Dembélé;21;152.4;67.1;RW,LW;France;92;46000000.0;78;79;91;64;70;83;94;93;90
Andrés Iniesta Luján;34;170.18;68.0;CM,LM;Spain;85;18500000.0;69;90;88;70;84;91;70;66;79
Zlatan Ibrahimović;37;195.57999999999998;94.8;ST;Sweden;85;14000000.0;86;79;79;82;73;84;58;59;75
Luiz Frello Filho Jorge;27;154.94;67.1;CM;Italy;84;30000000.0;57;89;82;76;87;85;70;61;77
Edin Višća;29;172.72;63.0;RM,RW;Bosnia Herzegovina;83;26000000.0;80;82;82;60;71;82;90;89;93
Serge Gnabry;23;175.26;74.8;LM,RM,CAM,LW;Germany;87;34000000.0;81;79;87;62;68;83;92;90;86
Mateo Kovačić;24;175.26;78.0;CM;Croatia;89;35000000.0;62;87;88;68;82;89;84;74;85
William Silva de Carvalho;26;187.96;83.0;CDM,CM;Portugal;86;27000000.0;52;81;78;50;84;80;62;67;51
Felipe Augusto de Almeida Monteiro;29;190.5;86.2;CB;Brazil;84;22500000.0;39;74;57;30;67;62;60;67;52
Yannick Ferreira Carrasco;25;154.94;73.0;LM;Belgium;86;33000000.0;79;77;88;78;71;87;89;87;88
Lucas Vázquez Iglesias;27;172.72;69.9;RW,RM;Spain;83;27000000.0;72;83;82;71;75;82;86;82;86
Quincy Anton Promes;27;175.26;72.1;LM,ST,RM;Netherlands;83;28000000.0;86;78;84;76;73;82;90;91;87
Leon Goretzka;24;187.96;78.9;CM,CAM,CDM;Germany;88;34000000.0;73;84;81;75;79;83;84;79;76
Adrien Rabiot;23;193.04;79.8;CM,CDM;France;87;33000000.0;69;85;79;59;83;83;73;74;79
Alessio Romagnoli;24;187.96;78.0;CB;Italy;90;31000000.0;30;72;65;24;71;70;63;69;60
João Pedro Cavaco Cancelo;24;182.88;73.9;RB;Portugal;89;29500000.0;58;79;85;69;75;84;91;91;78
Anderson Souza Conceição;25;190.5;79.8;CAM;Brazil;87;34000000.0;80;81;82;87;79;84;77;76;76
Kingsley Coman;22;152.4;71.2;LM,RM,LW,RW;France;88;34500000.0;77;77;88;70;63;83;95;93;88
Thomas Lemar;23;170.18;62.1;LM,CAM,RM;France;89;35500000.0;75;84;85;81;75;86;86;84;87
Jonathan Tah;23;195.57999999999998;97.1;CB;Germany;87;25000000.0;20;74;55;27;69;64;64;77;48
Matteo Politano;25;170.18;67.1;RM,LM,ST;Italy;85;28000000.0;74;80;84;77;76;84;85;86;90
Clément Lenglet;23;185.42;81.2;CB;France;88;26000000.0;23;78;60;27;69;76;72;73;62
Pau López Sabata;24;187.96;77.1;GK;Spain;87;21500000.0;19;38;18;21;41;16;45;52;40
Hirving Rodrigo Lozano Bahena;23;175.26;69.9;RW,LW;Mexico;87;29500000.0;77;74;84;65;67;81;94;93;91
Malcom Filipe Silva de Oliveira;22;172.72;73.9;RW;Brazil;89;31500000.0;75;80;85;81;73;85;87;82;92
Lucas Torreira Di Pascua;23;167.64000000000001;64.0;CDM,CM;Uruguay;87;25000000.0;50;83;78;78;77;81;81;74;85
Gonçalo Manuel Ganchinho Guedes;22;152.4;68.0;LM,ST,RM,LW;Portugal;86;29000000.0;75;77;86;70;69;81;89;90;85
Giovani Lo Celso;22;175.26;69.9;CM,CAM,CDM;Argentina;88;30000000.0;77;82;84;72;84;84;77;79;82
Fabián Ruiz Peña;22;187.96;69.9;CM,CDM,CAM;Spain;90;32000000.0;79;80;83;59;80;83;69;67;73
Frenkie de Jong;21;154.94;69.9;CM,CDM,CB;Netherlands;89;31000000.0;52;87;86;64;82;88;80;78;84
Raphael William Anjos Rochedo;31;190.5;84.8;GK;Brazil;82;14000000.0;8;18;9;18;16;21;41;42;34
Juan Everton Mestres de Mesquita;35;154.94;82.1;CB,CDM;Brazil;82;6500000.0;56;67;60;58;58;64;68;74;61
Rosberto J. Dourado Santos;31;175.26;69.9;CDM,CM;Brazil;82;16500000.0;53;82;77;57;78;76;80;81;72
Arthur Henrique Ramos Oliveira Melo;22;170.18;73.0;CM;Brazil;90;32500000.0;72;86;83;60;80;84;68;70;79
Rodrigo Hernández Cascante;22;190.5;82.1;CM,CDM;Spain;87;29000000.0;64;84;77;54;80;82;70;66;69
Marco Parolo;34;182.88;74.8;CDM,CM;Italy;82;9000000.0;70;80;75;55;83;79;68;69;67
Max Kruse;30;154.94;76.2;CF,ST,CAM;Germany;82;21500000.0;83;84;82;69;80;85;69;67;74
Jordan Brian Henderson;28;182.88;79.8;CDM,CM;England;82;18000000.0;67;84;73;74;84;80;67;66;68
Osvaldo Nicolás Fabián Gaitán;31;172.72;66.2;CAM;Argentina;82;21000000.0;71;81;84;72;75;83;84;79;87
Marko Arnautović;29;193.04;83.0;ST;Austria;82;22000000.0;78;78;84;72;74;85;79;83;69
Sebastian Giovinco;32;162.56;60.8;CF,ST;Italy;82;20000000.0;78;80;86;93;76;86;88;80;94
